;UAI;Position;IPS voie GT
1370;0771027Y;48.519, 2.648;108.7
1371;0771232W;48.406, 2.689;136.8
1372;0771940R;48.841, 2.616;104.3
1373;0772230F;48.698, 2.595;118.6
1374;0772290W;48.562, 3.294;124.6
1375;0772292Y;48.840, 2.718;121.8
1376;0772296C;48.633, 2.576;103.4
1377;0772332S;48.573, 2.609;120.4
1378;0772342C;48.743, 2.749;118.9
1379;0781845G;48.999, 2.096;118.8
1380;0782132U;48.894, 2.098;142.0
1381;0782549X;48.641, 1.825;132.3
1382;0782565P;48.795, 2.121;130.3
1383;0783288A;48.894, 2.075;145.8
1384;0783289B;48.988, 1.722;136.2
1385;0783548H;48.771, 2.122;161.6
1386;0790023W;46.331, -0.469;122.7
1387;0791062A;46.317, -0.486;113.2
1388;0800011C;49.879, 2.297;90.9
1389;0800046R;49.935, 2.941;92.0
1390;0801874C;49.882, 2.324;122.7
1391;0801882L;49.896, 2.276;94.5
1392;0830050D;43.100, 5.878;108.4
1393;0830095C;43.101, 5.877;132.1
1394;0831616F;43.126, 5.978;115.1
1395;0840003X;43.947, 4.802;108.7
1396;0840059H;43.948, 4.814;130.0
1397;0850025R;46.671, -1.445;108.2
1398;0850077X;46.457, -1.164;109.4
1399;0850136L;46.981, -1.314;116.2
1400;0851705S;46.754, -1.623;103.4
1401;0860009T;46.149, 0.294;108.0
1402;0870003F;46.126, 1.062;102.1
1403;0870019Y;45.829, 1.246;95.2
1404;0870040W;45.892, 0.897;110.7
1405;0880020U;48.167, 6.455;114.2
1406;0880040R;48.359, 5.697;100.0
1407;0890008A;47.488, 3.915;109.2
1408;0890032B;47.857, 3.973;99.9
1409;0910630R;48.483, 2.337;123.0
1410;0910687C;48.734, 2.266;120.3
1411;0911632E;48.580, 2.245;126.2
1412;0911844K;48.739, 2.244;150.9
1413;0911913K;48.700, 2.097;146.7
1414;0912161E;48.609, 2.483;129.2
1415;0920138A;48.899, 2.258;124.6
1416;0920142E;48.886, 2.274;149.3
1417;0920146J;48.778, 2.288;142.5
1418;0920801W;48.849, 2.214;141.0
1419;0920907L;48.758, 2.271;143.2
1420;0920919Z;48.882, 2.281;146.7
1421;0920928J;48.859, 2.183;147.3
1422;0921166T;48.767, 2.256;110.1
1423;0921365J;48.860, 2.172;148.4
1424;0921484N;48.903, 2.276;143.0
1425;0922149L;48.903, 2.300;95.5
1426;0922801V;48.827, 2.242;120.5
1427;0930117X;48.914, 2.390;79.3
1428;0930121B;48.864, 2.449;102.6
1429;0930122C;48.858, 2.446;98.7
1430;0930124E;48.905, 2.394;83.5
1431;0930135S;48.895, 2.410;88.2
1432;0930834B;48.945, 2.508;79.6
1433;0930936M;48.871, 2.418;107.4
1434;0930962R;48.912, 2.434;101.2
1435;0931430Z;48.930, 2.400;79.0
1436;0931584S;48.960, 2.547;89.9
1437;0931585T;48.913, 2.520;105.5
1438;0932047V;48.845, 2.539;111.8
1439;0932119Y;48.875, 2.431;88.2
1440;0932638M;48.842, 2.541;121.9
1441;0940137N;48.830, 2.466;131.5
1442;0940742W;48.744, 2.511;107.0
1443;0940821G;48.849, 2.427;124.5
1444;0940882Y;48.840, 2.419;137.6
1445;0941294W;48.780, 2.373;97.3
1446;0941918Z;48.760, 2.526;122.5
1447;0941951K;48.815, 2.535;98.5
1448;0942269F;48.773, 2.340;103.8
1449;0942443V;48.792, 2.354;120.5
1450;0950647M;49.108, 2.425;119.2
1451;0951221L;49.051, 2.097;142.9
1452;0951710T;49.033, 2.022;123.7
1453;0951748J;49.146, 2.295;106.8
1454;0951787B;48.969, 2.395;76.6
1455;0951922Y;48.972, 2.336;103.9
1456;7200719U;41.996, 9.406;103.1
1457;9710884J;16.007, -61.740;101.2
1458;9710921Z;16.269, -61.514;91.2
1459;9720070U;14.622, -61.078;100.7
1460;9720725F;14.513, -60.966;111.0
1461;9720727H;14.476, -60.875;96.6
1462;9720771F;14.615, -60.903;104.7
1463;9730001N;4.928, -52.316;80.7
1464;9730196A;4.880, -52.289;96.0
1465;9730309Y;4.939, -52.307;92.6
1466;9730423X;4.907, -52.278;111.1
1467;9730513V;5.487, -53.995;78.5
1468;9740045F;-21.239, 55.336;111.9
1469;9740597F;-21.028, 55.271;105.5
1470;9740787M;-21.274, 55.415;81.0
1471;9741051Z;-21.002, 55.683;91.0
1472;9741263E;-21.258, 55.508;101.5
1473;9741380G;-20.978, 55.317;98.0
1474;0080045F;49.694, 4.948;96.1
1475;0100059K;48.297, 4.082;115.0
1476;0140013N;49.175, -0.373;125.0
1477;0140043W;49.364, 0.074;111.3
1478;0141164P;49.190, -0.355;127.5
1479;0141274J;49.285, -0.712;109.7
1480;0141687H;49.167, -0.328;96.2
1481;0142084P;49.211, -0.373;115.8
1482;0142107P;49.184, -0.379;124.8
1483;0211090W;47.330, 5.017;122.0
1484;0271051W;48.741, 0.894;136.7
1485;0271585B;49.249, 1.434;101.3
1486;0310017A;43.077, 0.584;109.8
1487;0352009U;48.127, -1.689;118.6
1488;0500049G;48.645, -0.941;105.4
1489;0500112A;48.687, -1.367;107.7
1490;0500119H;48.840, -1.592;122.9
1491;0501850P;48.831, -1.581;104.3
1492;0561507J;47.879, -2.828;96.0
1493;0580076T;47.412, 2.924;104.7
1494;0593114P;50.628, 3.049;143.4
1495;0593141U;50.359, 3.530;126.5
1496;0596122J;50.690, 3.121;163.0
1497;0610006A;48.745, -0.015;100.5
1498;0610018N;48.587, -0.360;106.1
1499;0611148S;48.513, 0.553;106.5
1500;0620108F;50.431, 2.838;87.1
1501;0622120T;50.754, 2.256;119.8
1502;0622276M;50.398, 1.559;104.6
1503;0711494N;46.949, 4.295;100.4
1504;0711896A;46.791, 4.857;117.0
1505;0760032X;50.053, 1.417;107.1
1506;0760052U;49.496, 0.114;118.8
1507;0760076V;49.544, 0.175;118.5
1508;0760091L;49.444, 1.108;124.2
1509;0760110G;49.415, 1.085;104.4
1510;0761356L;49.444, 1.079;116.0
1511;0761715B;49.448, 1.084;134.6
1512;0762442S;49.768, 1.373;103.9
1513;0762600N;49.617, 1.538;107.5
1514;0762601P;49.737, 1.438;101.0
1515;0763237F;49.443, 1.019;113.8
1516;0763500S;49.484, 0.136;119.6
1517;0890064L;47.487, 3.907;107.8
1518;0890070T;47.812, 3.560;116.3
1519;0332744D;44.870, -0.521;99.3
1520;0420008F;46.170, 4.171;112.0
1521;0590112B;50.123, 3.686;102.1
1522;0590223X;50.358, 3.510;92.1
1523;0592928M;50.201, 3.831;104.1
1524;0592932S;50.602, 2.919;136.3
1525;0592963A;50.687, 3.171;95.1
1526;0660057D;42.516, 2.042;119.6
1527;0660809W;42.717, 2.886;99.1
1528;0693478F;45.694, 4.942;102.8
1529;0720055U;48.195, -0.121;107.9
1530;0850006V;46.685, -1.049;99.1
1531;0110670U;43.186, 3.006;120.2
1532;0300026R;43.828, 4.356;107.3
1533;0300080Z;43.835, 4.371;120.9
1534;0300083C;43.837, 4.352;114.4
1535;0301778V;44.093, 4.083;106.4
1536;0331556M;44.832, -0.580;125.0
1537;0340005W;43.610, 3.154;107.8
1538;0340881Y;43.610, 3.869;137.3
1539;0340920R;43.637, 3.833;117.6
1540;0341765J;43.602, 3.883;121.8
1541;0342266D;43.621, 3.879;125.1
1542;0470063N;44.498, 0.172;111.8
1543;0480009Z;44.525, 3.478;115.4
1544;0480022N;44.725, 3.853;113.7
1545;0640125N;43.172, -0.266;122.4
1546;0660004W;42.485, 2.753;108.6
1547;0693734J;46.104, 4.747;113.0
1548;0753838P;48.846, 2.332;144.0
1549;0753897D;48.842, 2.397;144.9
1550;0754860A;48.851, 2.319;139.0
1551;0110045P;43.212, 2.349;121.4
1552;0940743X;48.727, 2.439;95.8
1553;0011194T;45.962, 5.346;116.3
1554;0022044L;49.364, 3.316;90.7
1555;0070004S;44.625, 4.389;110.2
1556;0070064G;44.616, 4.388;113.9
1557;0070066J;44.374, 4.645;117.1
1558;0070069M;44.736, 4.601;106.7
1559;0120025M;43.950, 2.896;111.6
1560;0130003H;43.529, 5.455;130.0
1561;0260008T;44.757, 5.367;126.2
1562;0260069J;44.931, 4.909;125.4
1563;0260071L;44.925, 4.890;127.4
1564;0260113G;44.571, 4.760;105.3
1565;0261505V;44.918, 4.917;112.6
1566;0310028M;43.456, 2.012;117.6
1567;0310047H;43.610, 1.442;134.7
1568;0311132M;43.679, 1.368;134.9
1569;0311145B;43.593, 1.474;142.7
1570;0311902Z;43.616, 1.476;116.1
1571;0312355S;43.602, 1.333;119.8
1572;0312356T;43.622, 1.462;119.5
1573;0312759F;43.573, 1.426;86.3
1574;0320002D;43.654, 0.578;119.8
1575;0320025D;43.754, -0.028;102.9
1576;0330027A;44.839, -0.556;115.1
1577;0350026N;48.117, -1.670;129.1
1578;0350783L;48.099, -1.685;124.7
1579;0352471W;48.551, -1.754;112.5
1580;0352867B;48.100, -1.808;125.9
1581;0380035G;45.168, 5.709;120.5
1582;0380073Y;45.564, 5.442;115.4
1583;0381599G;45.368, 4.802;98.0
1584;0382895R;45.623, 5.218;106.3
1585;0383242T;45.195, 5.712;146.2
1586;0383263R;45.251, 5.899;135.3
1587;0460039T;44.612, 2.034;113.6
1588;0590071G;51.037, 2.384;105.4
1589;0590083V;50.010, 4.043;94.4
1590;0590143K;50.662, 3.086;127.2
1591;0590184E;50.696, 3.197;81.6
1592;0590212K;50.713, 3.157;98.2
1593;0590221V;50.364, 3.521;102.0
1594;0590233H;50.707, 3.232;83.5
1595;0593225K;50.680, 3.107;144.7
1596;0596681S;50.614, 3.054;112.9
1597;0601897L;49.662, 1.948;79.2
1598;0620017G;50.507, 2.476;84.5
1599;0620095S;50.431, 2.947;91.7
1600;0620161N;50.748, 2.259;106.1
1601;0620166U;50.386, 2.346;103.7
1602;0650027B;43.230, 0.065;116.6
1603;0650058K;43.095, -0.044;105.0
1604;0650885J;43.222, 0.506;117.1
1605;0740005D;45.899, 6.116;120.8
1606;0740097D;46.143, 6.080;133.0
1607;0740098E;45.941, 6.643;111.7
1608;0740143D;46.059, 6.579;119.1
1609;0741469V;45.868, 5.945;115.9
1610;0750704H;48.884, 2.308;135.4
1611;0810071M;43.596, 2.235;123.0
1612;0820917B;43.963, 1.248;110.3
1613;0841158C;44.384, 4.991;109.6
1614;0910824B;48.661, 2.267;139.5
1615;0911938M;48.719, 2.234;131.2
1616;0130001F;43.511, 5.460;124.6
1617;0130010R;43.697, 4.639;100.4
1618;0240035H;44.869, 1.206;108.0
1619;0251028G;47.259, 6.020;125.6
1620;9710922A;16.248, -61.370;111.7
1621;9711032V;16.261, -61.586;119.8
1622;0332468D;44.866, -0.567;106.2
1623;0010016M;46.198, 5.224;111.7
1624;0010032E;46.155, 5.603;105.9
1625;0010878Z;46.328, 6.063;136.7
1626;0021869W;49.042, 3.401;112.4
1627;0021874B;49.376, 3.323;119.9
1628;0021939X;49.054, 3.400;110.0
1629;0022042J;49.853, 3.307;87.9
1630;0040034R;44.091, 6.241;116.5
1631;0050003B;44.900, 6.639;118.7
1632;0050006E;44.561, 6.076;119.8
1633;0050035L;44.565, 6.078;120.7
1634;0060011E;43.564, 7.018;107.0
1635;0060026W;43.777, 7.485;98.5
1636;0060031B;43.704, 7.271;118.4
1637;0060034E;43.668, 7.212;110.3
1638;0080040A;49.929, 4.655;89.1
1639;0080082W;49.772, 4.722;118.0
1640;0081047V;49.679, 4.982;107.1
1641;0130048G;43.347, 5.355;80.4
1642;0130050J;43.325, 5.414;87.7
1643;0130161E;43.635, 5.098;124.2
1644;0131323T;43.256, 5.395;146.6
1645;0131335F;43.303, 5.402;134.4
1646;0131348V;43.329, 5.419;118.8
1647;0131391S;43.534, 5.450;134.9
1648;0131402D;43.288, 5.375;123.2
1649;0131549N;43.292, 5.560;116.4
1650;0131681G;43.287, 5.466;112.2
1651;0132495S;43.503, 4.987;105.0
1652;0133286B;43.304, 5.372;79.9
1653;0133425C;43.530, 5.438;125.9
1654;0133525L;43.480, 5.412;137.0
1655;0133931C;43.352, 5.359;103.0
1656;0134004G;43.640, 4.795;121.4
1657;0134155W;43.346, 5.414;94.4
1658;0160003S;45.653, 0.182;103.2
1659;0160010Z;45.474, -0.150;109.8
1660;0170042D;45.620, -1.005;113.4
1661;0171418Z;46.157, -1.182;112.0
1662;0180036S;47.228, 2.063;97.9
1663;0190010H;45.158, 1.524;115.2
1664;0190056H;45.093, 1.941;101.5
1665;0210006T;47.030, 4.838;119.1
1666;0211033J;47.335, 5.070;122.6
1667;0212015B;47.321, 5.051;99.5
1668;0212045J;47.030, 4.851;113.2
1669;0220056S;48.505, -2.747;110.8
1670;0220058U;48.512, -2.736;113.7
1671;0220060W;48.520, -2.780;119.4
1672;0220107X;48.235, -3.314;104.5
1673;0220117H;48.519, -2.736;117.0
1674;0220196U;48.474, -2.504;108.7
1675;0221571N;48.781, -3.058;114.3
1676;0230002C;45.953, 2.167;106.4
1677;0230020X;46.172, 1.871;113.9
1678;0240079F;45.189, 0.723;126.6
1679;0251021Z;47.245, 6.037;126.4
1680;0281047L;48.446, 1.508;111.3
1681;0290071V;47.988, -4.088;107.5
1682;0290198H;48.513, -4.080;107.4
1683;0290336H;48.403, -4.459;129.9
1684;0290338K;48.396, -4.491;140.5
1685;0291654R;47.874, -3.922;118.4
1686;0292137R;48.273, -3.560;132.9
1687;0330003Z;44.654, -1.165;118.2
1688;0330021U;44.833, -0.573;134.1
1689;0330029C;44.824, -0.570;122.3
1690;0331488N;44.655, -1.153;127.5
1691;0331491S;44.824, -0.582;134.4
1692;0332724G;44.754, -1.077;120.7
1693;0332745E;44.916, -0.635;120.6
1694;0333273D;44.786, -0.564;117.8
1695;0350710G;48.123, -1.649;137.2
1696;0350774B;47.650, -2.083;113.6
1697;0350795Z;48.125, -1.669;123.9
1698;0352304P;48.116, -1.599;135.1
1699;0360009P;46.809, 1.709;103.9
1700;0360024F;46.956, 2.000;105.0
1701;0370001A;47.401, 0.982;116.4
1702;0370036N;47.387, 0.687;120.4
1703;0370749N;47.346, 0.722;132.6
1704;0371417P;47.339, 0.659;115.3
1705;0390013C;47.082, 5.471;106.9
1706;0390019J;46.680, 5.551;114.1
1707;0390027T;46.518, 6.027;110.4
1708;0390091M;46.746, 5.906;107.3
1709;0400018C;43.883, -0.487;112.3
1710;0400046H;44.356, -1.071;107.6
1711;0400933X;43.668, -1.294;118.2
1712;0401002X;43.727, -1.043;111.0
1713;0410002E;47.595, 1.339;113.2
1714;0411071S;47.387, 1.250;129.2
1715;0420013L;45.388, 4.283;97.9
1716;0420014M;45.389, 4.291;99.8
1717;0421034W;45.431, 4.398;112.7
1718;0422132P;45.743, 4.014;113.0
1719;0422318S;45.647, 4.228;117.9
1720;0430053Z;45.291, 3.388;110.6
1721;0430947W;45.285, 4.175;115.1
1722;0430968U;45.046, 3.882;114.4
1723;0440022K;47.217, -1.561;140.3
1724;0440024M;47.216, -1.569;145.1
1725;0440069L;47.273, -2.233;111.3
1726;0440163N;47.223, -1.556;139.1
1727;0440175B;47.519, -2.039;108.9
1728;0440177D;47.269, -2.219;129.5
1729;0442309W;47.156, -1.682;123.9
1730;0442752C;47.093, -1.268;120.5
1731;0442834S;47.280, -1.491;133.2
1732;0450042B;48.000, 2.715;105.4
1733;0450049J;47.909, 1.910;111.8
1734;0450051L;47.911, 1.911;103.8
1735;0450107X;47.999, 2.728;113.2
1736;0450757D;47.905, 1.922;126.1
1737;0451483T;47.920, 1.831;110.9
1738;0470003Y;44.199, 0.615;107.2
1739;0470004Z;44.187, 0.623;78.2
1740;0470038L;44.394, 0.710;100.0
1741;0490002L;47.476, -0.546;121.3
1742;0490782J;47.690, -0.878;108.3
1743;0490824E;47.469, -0.551;136.5
1744;0490835S;47.360, -0.860;116.8
1745;0492061Z;47.476, -0.570;121.7
1746;0492407A;47.460, -0.528;131.9
1747;0510006E;48.960, 4.363;117.9
1748;0510034K;49.263, 4.027;105.9
1749;0510062R;48.728, 4.597;98.9
1750;0520027X;48.643, 4.964;90.5
1751;0520844K;48.107, 5.148;102.4
1752;0540030P;49.521, 5.759;99.2
1753;0541286E;49.256, 5.935;100.4
1754;0541309E;49.518, 5.766;109.6
1755;0560038M;48.066, -2.963;105.6
1756;0560098C;47.806, -3.280;114.5
1757;0560114V;47.654, -2.761;128.9
1758;0560117Y;47.650, -2.763;126.8
1759;0560182U;48.072, -2.961;109.9
1760;0561534N;47.672, -2.980;119.7
1761;0561641E;47.663, -2.462;106.4
1762;0570030Y;49.179, 6.895;70.0
1763;0570054Z;49.123, 6.173;127.1
1764;0570099Y;49.115, 7.079;100.5
1765;0570108H;49.366, 6.159;103.1
1766;0570146Z;49.251, 6.099;97.5
1767;0570216A;49.363, 6.151;129.7
1768;0572022N;49.199, 6.698;96.9
1769;0572027U;49.365, 6.148;95.9
1770;0572340J;49.185, 6.901;102.9
1771;0573172N;49.105, 6.708;99.6
1772;0573231C;49.204, 6.919;90.7
1773;0573281G;49.101, 6.222;113.2
1774;0573320Z;49.106, 6.212;113.6
1775;0573326F;49.056, 7.421;105.3
1776;0573770N;49.124, 6.173;118.1
1777;0580014A;47.401, 2.929;110.7
1778;0590060V;50.331, 3.409;88.7
1779;0593034C;50.277, 3.976;104.3
1780;0600009J;49.180, 2.464;127.4
1781;0600014P;49.406, 2.834;121.0
1782;0600015R;49.401, 2.820;105.9
1783;0601703A;49.373, 2.996;127.5
1784;0601832R;49.223, 2.894;108.9
1785;0601863Z;49.385, 2.780;109.8
1786;0601865B;49.238, 2.143;101.9
1787;0602070Z;49.110, 2.605;132.5
1788;0620109G;50.445, 2.825;85.3
1789;0622949U;50.732, 1.611;103.5
1790;0624109E;50.722, 1.635;103.0
1791;0630018C;45.775, 3.094;116.6
1792;0630034V;45.551, 3.247;114.7
1793;0630052P;45.886, 3.116;118.4
1794;0630054S;45.902, 3.107;99.1
1795;0630068G;45.861, 3.541;104.7
1796;0631032E;45.753, 3.529;110.9
1797;0631985R;45.880, 3.112;121.2
1798;0640017W;43.486, -1.546;127.9
1799;0640065Y;43.385, -1.661;110.4
1800;0640124M;43.223, -0.886;118.8
1801;0640134Y;43.389, -1.656;121.0
1802;0670005S;48.778, 7.847;102.8
1803;0670049P;48.462, 7.487;130.7
1804;0670078W;48.564, 7.770;95.2
1805;0670083B;48.578, 7.772;104.6
1806;0670086E;48.583, 7.770;88.5
1807;0672604S;48.617, 7.766;101.4
1808;0672677W;48.423, 7.652;121.3
1809;0680008P;48.081, 7.326;110.1
1810;0680068E;48.237, 7.172;107.3
1811;0680073K;47.801, 7.114;111.1
1812;0681761V;47.754, 7.330;100.2
1813;0681885E;47.613, 7.214;109.5
1814;0690027E;45.766, 4.845;130.5
1815;0690029G;45.758, 4.870;105.2
1816;0690048C;45.769, 4.822;107.6
1817;0690074F;45.723, 4.810;107.1
1818;0690082P;45.788, 4.809;121.4
1819;0690103M;45.762, 4.905;89.7
1820;0690552A;45.991, 4.712;130.5
1821;0691644M;45.999, 4.706;124.3
1822;0692800U;45.773, 4.976;107.7
1823;0692866R;45.740, 4.868;94.9
1824;0694066V;45.768, 4.897;121.1
1825;0694197M;45.820, 4.895;116.8
1826;0700018P;47.688, 6.498;107.3
1827;0710001R;46.950, 4.298;112.9
1828;0710010A;46.788, 4.862;104.9
1829;0710011B;46.780, 4.836;125.7
1830;0710023P;46.431, 4.654;119.2
1831;0710045N;46.317, 4.826;106.5
1832;0710048S;46.315, 4.821;104.9
1833;0710054Y;46.676, 4.374;101.4
1834;0720017C;48.179, 0.654;103.7
1835;0721478R;47.983, 0.139;123.8
1836;0750652B;48.854, 2.360;136.7
1837;0750660K;48.853, 2.341;143.4
1838;0750679F;48.840, 2.409;108.0
1839;0750681H;48.847, 2.392;143.6
1840;0750691U;48.825, 2.313;103.4
1841;0750692V;48.832, 2.337;93.5
1842;0750695Y;48.843, 2.313;104.9
1843;0750700D;48.847, 2.267;142.0
1844;0751708Z;48.837, 2.285;100.8
1845;0753268V;48.834, 2.353;96.9
1846;0753842U;48.844, 2.331;144.8
1847;0753844W;48.846, 2.331;142.5
1848;0753887T;48.870, 2.363;138.8
1849;0753898E;48.850, 2.376;130.3
1850;0753919C;48.867, 2.272;117.9
1851;0753941B;48.861, 2.275;145.6
1852;0754015G;48.877, 2.386;130.3
1853;0754089M;48.861, 2.385;121.1
1854;0754924V;48.828, 2.353;131.0
1855;0754965P;48.880, 2.376;130.4
1856;0770926N;48.399, 2.687;126.9
1857;0770930T;48.959, 2.875;101.0
1858;0771663P;48.550, 2.637;92.5
1859;0771996B;48.973, 2.652;102.9
1860;0772120L;48.836, 2.658;101.6
1861;0772295B;48.679, 2.964;113.7
1862;0772312V;48.377, 2.945;95.7
1863;0772688D;48.857, 2.779;123.5
1864;0772737G;48.533, 3.374;95.4
1865;0772751X;49.066, 2.679;110.6
1866;0781297L;48.782, 1.985;88.3
1867;0781512V;48.765, 2.039;141.1
1868;0781819D;48.781, 2.042;125.3
1869;0781839A;48.802, 1.782;133.5
1870;0781899R;48.779, 2.041;146.3
1871;0781949V;48.765, 2.068;116.4
1872;0781974X;48.796, 2.049;139.8
1873;0782540M;48.998, 1.697;94.1
1874;0782924E;48.928, 2.164;121.3
1875;0790007D;46.841, -0.485;105.4
1876;0790031E;46.411, -0.220;115.4
1877;0790036K;46.993, -0.213;102.4
1878;0800001S;50.103, 1.842;104.7
1879;0800009A;49.879, 2.297;120.2
1880;0801226Y;49.927, 2.935;112.1
1881;0801742J;49.878, 2.301;131.8
1882;0801864S;50.083, 1.548;93.9
1883;0831453D;43.123, 5.931;111.8
1884;0831551K;43.436, 6.803;132.2
1885;0831559U;43.457, 5.857;119.4
1886;0840935K;43.946, 4.854;98.7
1887;0840940R;43.949, 4.816;122.2
1888;0841117H;44.244, 5.087;110.4
1889;0850133H;46.512, -1.766;121.8
1890;0850135K;46.686, -1.052;110.1
1891;0851401L;46.675, -1.406;114.9
1892;0860021F;47.006, 0.085;103.2
1893;0860035W;46.568, 0.366;124.2
1894;0861223M;46.682, 0.368;127.3
1895;0861408N;46.590, 0.384;115.5
1896;0870016V;45.830, 1.254;125.2
1897;0870017W;45.823, 1.242;113.5
1898;0870045B;45.834, 1.493;116.3
1899;0870081R;45.828, 1.255;127.0
1900;0871030X;45.852, 1.292;119.1
1901;0880021V;48.187, 6.456;109.2
1902;0900004R;47.638, 6.845;103.9
1903;0900030U;47.641, 6.858;135.9
1904;0910623H;48.698, 2.378;100.3
1905;0910727W;48.732, 2.255;124.0
1906;0910808J;48.709, 2.390;130.8
1907;0911828T;48.627, 2.420;94.4
1908;0911937L;48.619, 2.390;102.4
1909;0911983L;48.642, 2.089;140.0
1910;0912342B;48.741, 2.228;139.0
1911;0920143F;48.883, 2.256;135.1
1912;0920149M;48.825, 2.287;136.6
1913;0920802X;48.825, 2.211;139.1
1914;0920875B;48.885, 2.281;145.1
1915;0920889S;48.908, 2.284;146.3
1916;0920897A;48.846, 2.237;146.1
1917;0920904H;48.754, 2.300;146.5
1918;0920918Y;48.819, 2.319;137.4
1919;0920937U;48.839, 2.152;141.9
1920;0920985W;48.884, 2.270;142.7
1921;0921230M;48.897, 2.279;119.3
1922;0921399W;48.811, 2.323;105.5
1923;0921663H;48.925, 2.253;143.3
1924;0922249V;48.777, 2.264;117.5
1925;0922398G;48.871, 2.194;122.6
1926;0922615T;48.891, 2.256;124.4
1927;0930116W;48.911, 2.388;80.7
1928;0930123D;48.889, 2.471;91.0
1929;0930126G;48.903, 2.334;90.2
1930;0930127H;48.877, 2.525;107.1
1931;0930833A;48.936, 2.503;95.3
1932;0930933J;48.905, 2.491;119.9
1933;0930961P;48.935, 2.494;124.0
1934;0931272C;48.889, 2.541;97.9
1935;0931613Y;48.902, 2.441;79.8
1936;0931799A;48.931, 2.570;123.6
1937;0932036H;48.846, 2.549;136.1
1938;0932046U;48.967, 2.574;94.3
1939;0932073Y;48.883, 2.421;103.7
1940;0932222K;48.900, 2.519;97.8
1941;0932291K;48.862, 2.520;100.9
1942;0932618R;48.949, 2.415;111.1
1943;0932667U;48.915, 2.365;80.5
1944;0940113M;48.817, 2.498;91.5
1945;0940114N;48.783, 2.462;95.6
1946;0940116R;48.811, 2.426;123.5
1947;0940120V;48.810, 2.470;141.1
1948;0940878U;48.807, 2.491;130.0
1949;0941413A;48.780, 2.445;91.9
1950;0941974K;48.818, 2.413;117.7
1951;0950640E;48.953, 2.235;96.9
1952;0950641F;48.940, 2.226;92.9
1953;0950650R;48.994, 2.385;86.9
1954;0950651S;49.015, 2.211;120.8
1955;0950667J;49.030, 2.453;87.9
1956;0950753C;48.967, 2.312;136.5
1957;0950761L;49.052, 2.099;140.0
1958;0950812S;48.988, 2.230;133.1
1959;0950947N;48.993, 2.383;82.6
1960;0951104J;49.058, 2.130;117.7
1961;0951637N;49.046, 2.030;108.2
1962;0951722F;48.991, 2.215;104.2
1963;0951727L;49.102, 2.505;99.9
1964;0951756T;49.052, 2.010;116.5
1965;0951788C;49.027, 2.340;120.0
1966;0951824S;49.010, 2.026;110.9
1967;0951940T;48.983, 2.389;116.1
1968;0951974E;48.996, 2.288;124.4
1969;0951994B;48.994, 2.410;118.4
1970;0952196W;48.972, 2.296;114.9
1971;6200650M;41.949, 8.759;114.4
1972;7200009X;42.703, 9.444;116.9
1973;7200011Z;42.670, 9.440;88.1
1974;7200073S;42.697, 9.444;123.4
1975;9710055H;15.996, -61.724;116.9
1976;9710991A;15.993, -61.724;92.6
1977;9720002V;14.602, -61.084;111.3
1978;9720003W;14.602, -61.084;113.9
1979;9720692V;14.778, -60.990;101.3
1980;9720726G;14.833, -61.056;84.5
1981;9720829U;14.607, -61.075;133.1
1982;9730010Y;4.940, -52.332;123.5
1983;9730235T;5.484, -54.031;80.7
1984;9730514W;4.885, -52.357;79.4
1985;9740053P;-20.904, 55.484;95.3
1986;9740738J;-21.027, 55.269;90.5
1987;9741052A;-21.167, 55.287;109.8
1988;9741230U;-21.377, 55.668;85.8
1989;9741620T;-20.910, 55.478;105.0
1990;0120024L;44.357, 2.572;112.5
1991;0140017T;49.162, -0.353;103.9
1992;0140056K;49.398, 0.239;114.7
1993;0141161L;49.182, -0.395;136.2
1994;0141169V;49.147, 0.224;120.5
1995;0141275K;49.163, 0.219;99.1
1996;0142108R;49.296, -0.373;130.3
1997;0142132S;49.149, -0.358;117.3
1998;0211089V;47.314, 5.038;130.4
1999;0270017X;49.022, 1.166;114.8
2000;0270042Z;48.741, 0.913;106.8
2001;0271579V;49.010, 1.138;113.1
2002;0292047T;48.505, -4.082;104.9
2003;0350029S;48.126, -1.648;120.5
2004;0500120J;49.120, -1.106;120.4
2005;0501839C;49.305, -1.239;106.0
2006;0580071M;46.990, 3.153;119.3
2007;0590042A;50.103, 3.542;88.8
2008;0593113N;50.634, 3.069;123.3
2009;0594391C;50.696, 3.169;130.3
2010;0595657D;50.618, 3.005;116.8
2011;0595786U;50.650, 2.999;103.5
2012;0610014J;48.593, -0.642;102.2
2013;0610692W;48.430, 0.098;123.7
2014;0610702G;48.607, 0.172;110.8
2015;0622198C;50.736, 1.623;108.0
2016;0740092Y;46.073, 6.299;130.1
2017;0741101V;45.893, 6.101;112.3
2018;0760035A;49.747, 0.388;107.3
2019;0760090K;49.445, 1.100;141.5
2020;0760093N;49.442, 1.094;130.1
2021;0760109F;49.412, 1.074;94.0
2022;0761343X;49.414, 1.145;126.5
2023;0761707T;49.905, 1.074;124.3
2024;0761713Z;49.407, 1.140;124.8
2025;0761735Y;49.501, 0.090;113.8
2026;0762169V;49.906, 1.068;105.8
2027;0762880T;49.613, 0.769;109.0
2028;0340002T;43.300, 3.483;101.6
2029;0590215N;50.731, 3.164;75.2
2030;0592969G;50.354, 3.501;112.8
2031;0592980U;50.723, 3.167;98.6
2032;0730763H;45.571, 5.925;132.6
