;UAI;Position;IPS voie GT
657;0031041R;46.566, 3.336;112.1
658;0031082K;46.127, 3.446;99.6
659;0040023D;44.182, 5.947;108.1
660;0050007F;44.566, 6.085;115.2
661;0060015J;43.566, 7.025;98.6
662;0060082G;43.676, 7.222;71.2
663;0060668U;43.581, 7.111;134.0
664;0060750H;43.765, 7.483;118.4
665;0061763J;43.715, 7.283;91.8
666;0080008R;49.772, 4.707;104.2
667;0080039Z;49.517, 4.373;109.2
668;0100003Z;48.229, 4.703;101.6
669;0101016A;48.293, 4.029;108.9
670;0130039X;43.306, 5.392;110.2
671;0131319N;43.512, 5.434;143.2
672;0131331B;43.286, 5.382;121.3
673;0131344R;43.290, 5.387;131.3
674;0131345S;43.306, 5.426;133.4
675;0131456M;43.263, 5.422;129.0
676;0131747D;43.185, 5.604;119.7
677;0132210G;43.417, 5.034;113.8
678;0133474F;43.305, 5.417;102.0
679;0133822J;43.285, 5.618;132.0
680;0134250Z;43.258, 5.400;117.4
681;0134253C;43.324, 5.473;124.3
682;0150760V;44.915, 2.436;107.2
683;0160079Z;45.650, 0.150;124.1
684;0170029P;46.178, -1.151;120.0
685;0170098P;45.830, -0.871;118.7
686;0170103V;45.750, -0.652;117.8
687;0170135E;45.442, -0.432;102.8
688;0180006J;47.082, 2.382;114.9
689;0180008L;47.075, 2.406;112.5
690;0180035R;47.229, 2.068;101.0
691;0180561M;47.077, 2.402;126.9
692;0210012Z;47.238, 4.973;116.4
